timestamp,annotator_id,sex,age,education,provenance,political_position,sexual_orientation
5/6/2026 17:29:55,GS114,M,46,Laurea magistrale,"Centro (Toscana, Umbria, Marche, Lazio)",Sinistra,Appartenente alla comunità LGBTQIA+
5/6/2026 17:39:27,GS117,Altro,30,Laurea magistrale,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/6/2026 17:39:47,GS118,F,20,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/6/2026 18:19:53,GS123,F,43,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/6/2026 18:48:20,GS128,F,48,Dottorato,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 18:57:10,GS130,Altro,42,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/6/2026 19:09:58,GS131,Altro,25,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/6/2026 19:41:08,GS134,F,49,Dottorato,Altro,Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 19:42:26,GS135,F,54,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 20:10:18,GS136,F,34,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 20:32:53,GS138,F,30,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/6/2026 20:44:38,GS139,F,57,Diploma,"Centro (Toscana, Umbria, Marche, Lazio)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 20:59:35,GS141,M,48,Scuola secondaria,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Destra,Non appartenente alla comunità LGBTQIA+
5/6/2026 21:00:48,GS142,M,41,Dottorato,"Centro (Toscana, Umbria, Marche, Lazio)",Sinistra,Appartenente alla comunità LGBTQIA+
5/6/2026 21:27:18,GS143,F,40,Laurea triennale,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 21:35:44,GS145,F,36,Dottorato,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non so
5/6/2026 21:35:44,GS145,F,36,Dottorato,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non so
5/6/2026 21:57:03,GS146,F,27,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Centro,Non appartenente alla comunità LGBTQIA+
5/6/2026 22:00:36,GS147,F,43,Laurea magistrale,"Centro (Toscana, Umbria, Marche, Lazio)",Centro,Non so
5/6/2026 22:06:58,GS148,F,35,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 22:29:49,GS151,F,44,Laurea magistrale,"Centro (Toscana, Umbria, Marche, Lazio)",Centro,Non appartenente alla comunità LGBTQIA+
5/6/2026 22:40:42,GS152,F,58,Altro,"Centro (Toscana, Umbria, Marche, Lazio)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 22:46:20,GS153,M,44,Laurea magistrale,"Centro (Toscana, Umbria, Marche, Lazio)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 23:15:23,GS156,F,31,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
